51.1304902 17.0780325 Toruńska 73, 51-414 Wrocław
54.49333 18.205634 Mercerstwo 2C, 84-217 Szemud
54.406824 18.661272 PORT MORSKI GDAŃSK, Przemysłowa _, 80-542 Gdańsk
54.5797433 18.493363 Derdowskiego 68, 81-198 Kosakowo
53.7551295 19.2094386 Kolejowa 1, 82-550 Prabuty
54.2475874 18.6302022 Grunwaldzka 99, 83-000 Pruszcz Gdański
53.9596014 18.4949461 Zblewska 20C, 83-200 Starogard Gdański
54.6440763 18.33882099 Lipowa 24, 84-100 Rekowo Górne
54.4921741 18.5354899 Łużycka 9, 81-537 Gdynia
54.3370673 18.7341397 Główna 6, 83-021 Przejazdowo
54.5436621 18.483462 Hutnicza 8, 81-061 Gdynia
54.708694 18.65225 Mickiewicza 164, 84-140 Jastarnia
54.7605163 17.756546 Morska 47, 84-210 Sasino
54.529118 18.505725 SKODA PLICHTA Morska 80 Gdynia _, 81-225 Czynne: pn.- pt. 7.00 - 18.00, sob. 7.00-14.0
54.4503549 18.5628306 Powstańców Warszawy 53A, 81-712 Sopot
54.400416 18.675136 Na Zaspę 3, 80-546 Gdańsk
53.808597 17.950647 Cisowa 12, 89-650 Malachin
53.999091 17.66646 Przymuszewo 3, 89-634 Leśno
53.749557 17.732372 Rytel-Dworzec 4, 89-642 Rytel
54.570991 16.874761 Słupska 25, 76-270 Ustka
54.76729 17.587305 Nadmorska 23A, 84-360 Łeba
54.3098555 18.597908 Niepołomicka 36, 80-180 Gdańsk
54.39479446 18.5789814 Aleja Grunwaldzka 258, 80-266 Gdańsk
54.32632065 18.60787392 Świętokrzyska 2, 80-041 Gdańsk
54.40263748 18.58432007 Kołobrzeska 28A, 80-394 Gdańsk
54.55049515 18.42565727 Morska 495, 81-005 Gdynia
54.47445679 18.51586151 Wielkopolska 239, 81-531 Gdynia
54.19119263 18.63324738 MOP Kleszczewko A1, 83-031 Kleszczewko
54.19105148 18.63111687 MOP Kleszczewko A1, 83-031 Kleszczewko
54.45101547 16.9681015 Szczecińśka 19A, 76-251 Kobylnica
54.30901718 18.56152534 Glazurowa 2, 80-180 Kowale
54.5763855 18.37903214 Grunwaldzka 16B, 84-230 Rumia
54.27715302 18.58871269 Starogardzka 9, 83-010 Straszyn
54.480099 18.559958 Orłowska 27, 81-522 Gdynia
54.37275 18.519473 Złota Karczma 26, 80-298 Gdańsk
54.491187 18.535761 Stryjska Lotnikow, 81-001 Gdynia
54.3567085 18.6465702 Podwale Grodzkie 6, 80-895 Gdańsk
54.4001 18.67795 PORT MORSKI GDAŃSK, ul. Zamknięta _, 80-955 Gdańsk
54.40321 18.68077 PORT MORSKI GDAŃSK, Pokładowa TPW _, 80-561 Gdańsk
53.69491617 17.56781928 Gdańska 1, 89-600 Chojnice
54.516595 18.543599 plac Grunwaldzki 2, 81-372 Gdynia
54.60277 18.295822 SKODA PLICHTA Gdańska 13c Wejherowo _, 84-200 Czynne: pn.- pt. 7.00 - 18.00, sob. 7.00-14.0
54.331913 18.534183 SKODA PLICHTA Lubowidzka 46 Gdańsk _, 80-176 Czynne: pn.- pt. 7.00 - 18.00, sob. 7.00-14.0
54.552669 18.421093 VW/SEAT PLICHTA Morska 318 Gdynia _, 81-225 Czynne: pn.- pt. 7.00 - 18.00, sob. 7.00-14.0
54.330404 18.535801 SEAT PLICHTA, Lubowidzka 40 Gdańsk _, 80-176 Czynne: pn.- pt. 7.00 - 18.00, sob. 7.00-14.0
53.741004 18.63958 Smarzewo 48, 83-230 Kopytkowo
54.584791 18.375558 Grunwaldzka 108, 84-230 Rumia
54.39889907 18.62999605 Uczniowska 40, 80-530 Gdańsk
54.55196566 18.42253947 Morska 314, 81-006 Gdynia
54.47215 18.515136 Parkowa 2, 81-549 Gdynia
54.4947189 18.5375263 Aleja Zwycięstwa 96/98, 81-451 Gdynia
54.8327099 18.3173062 Rozewska 38, 84-104 Władysławowo
54.832167 18.319444 Rozewska 40, 84-104 Jastrzębia Góra
54.8321405 18.3214247 Rozewska 42, 84-120 Władysławowo
54.337444 19.222278 Rybacka 17, 82-110 Kąty Rybackie
54.50066116 17.01058546 Rzemieślnicza 3, 76-200 Włynkówko
54.442029 17.000436 Główna 41, 76-251 Kobylnica
53.9757096 18.5200729 Skarszewska 5, 83-200 Starogard Gdański
54.396335 18.579018 SKODA PLICHTA Grunwaldzka 339 Gdańsk _, 80-309 Czynne: pn.- pt. 7.00 - 18.00, sob. 7.00-14.0
54.50768 18.553886 Skwer Arki Gdynia 58, 81-386 Gdynia
54.537813 17.789074 Graniczna 6, 84-300 LĘBORK
54.385709 18.470867 Spadochroniarzy 12A, 80-298 Gdańsk
54.3875581 18.4716767 Spadochroniarzy 17, 80-298 Gdańsk
54.3841063 18.4669662 Spadochroniarzy 3, 80-298 Gdańsk
54.3840304 18.4677108 Spadochroniarzy 3, 80-298 Gdańsk
54.39111435 18.69199667 Budowniczych Portu Północnego 11, 80-601 Gdańsk
54.456371 18.451736 Chwaszczyńska 165, 81-571 Gdynia
54.33963499 18.82128316 Łąkowa 1, 83-011 Wiślinka
54.100519 18.779 Gdańska 20, 83-110 Tczew
53.672985 17.34719 Koszalińska 27a, 77-300 Człuchów
54.448617 16.993683 Profesora Poznańskiego 1A, 76-251 Słupsk Kobylnica
54.758435 17.740717 ul. Południowa -, 84-210 Sasino
54.3170345 18.5539234 Starowiejska 33, 80-180 Kowale
54.3680731 18.7766163 Stogi 20, 80-642 Gdańsk
54.524895 16.951912 Strzelinko 14, 76-200 Strzelinko
54.102517 17.944984 Szarlota -, 83-400 Szarlota
54.3535654 18.6580064 Targ Rybny 1, 80-838 Gdańsk
54.3437799 18.6500757 Toruńska 12, 80-747 Gdańsk
54.460117 18.554478 Al. Niepodległości 899, 81-861 Sopot
54.6093861 18.216471 Usługowa 7, 84-200 Wejherowo
54.5875582 16.8829312 Wczasowa 26, 76-270 Ustka
54.60704632 18.22407906 I Brygady Pancernej Wojska Polskiego 75, 84-200 Wejherowo
54.474062 18.514396 Wielkopolska 250b _, 81-531 Gdynia
50.492238 19.420117 11 Listopada 2/4, 42-400 Zawiercie
50.2813981 19.1340579 3 Maja 36, 41-200 Sosnowiec
50.810444 19.098722 7 Kamienic -, 42-217 Częstochowa
50.7715 19.144528 Adama Bienia -, 42-208 Częstochowa
50.818361 19.119861 Adama Jerzego Czartoryskiego 15, 42-202 Częstochowa
50.786694 19.146778 Adama Próchnika -, 42-202 Częstochowa
50.26496543 19.05882388 al. Rozdzieńskiego 188H, 40-203 Katowice
50.118004 18.982363 aleja Bielska 82, 43-100 Tychy
50.11469 18.995765 aleja Niepodległości 200, 43-100 Tychy
50.11443 18.996616 aleja Niepodległości 49, 43-100 Tychy
50.2779376 19.1340477 Aleja Zwycięstwa 20, 41-200 Sosnowiec
50.291366 19.005878 Bytkowska 105, 40-147 Katowice
50.371767 18.894907 Strzelców Bytomskich 66F, 41-914 Bytom
50.292375 18.958654 Katowicka 28, 41-500 Chorzów
49.928513 18.991233 Węglowa 15, 43-502 Czechowice-Dziedzice
50.088982 18.533119 Władysława Stanisława Reymonta 45, 44-200 Rybnik
50.137397 18.97558 Mikołowska 80, 43-100 Tychy
50.309703 18.789782 Bytomska 2A, 41-800 Zabrze
50.036957 18.701792 Tadeusza Kościuszki 57, 44-240 Żory
49.626158 18.908532 Czarne 3 _, 43-460 Wisła
49.832547 18.976278 1 Dywizji Pancernej 45, 43-382 Bielsko-Biała
50.347216 18.850498 Aleja Jana Nowaka-Jeziorańskiego 25, 41-923 Bytom
49.833131 18.983867 Bohaterów Monte Cassino 421, 43-300 Bielsko-Biała
49.75149969 18.6555284 Stawowa 54, 43-300 Cieszyn
50.7306275 19.1540856 Krakowska 10, 42-262 Poczesna
50.257442 18.656716 Rybnicka 207, 44-122 Gliwice
50.178956 18.885408 Gliwicka 3, 43-190 Mikołów
50.303184 19.163301 Zuzanny 20, 41-207 Sosnowiec
50.274187 18.965038 Trasa Nikodema i Józefa Renców 30, 40-001 Katowice
50.039468 18.70247 Francuska 11, 44-240 Żory
50.85133274 19.14715768 Makuszyńskiego 78/80, 42-209 Częstochowa
50.123999 18.979029 Barona 30, 43-100 Tychy
49.972095 18.944383 Bednorza 2, 43-200 Pszczyna
50.0874738 19.0058285 Beskidzka 105, 43-109 Tychy
49.716839 19.0282449 Beskidzka 40, 43-370 Szczyrk
50.126041 18.983875 Biblioteczna 24, 43-100 Tychy
50.328222 18.929309 Krzyżowa 32, 41-909 Bytom
49.75651 18.63958598 Wiejska 1, 43-400 Cieszyn
50.317764 19.076296 Będzińska 10, 41-250 Czeladź
50.09997259 18.56186978 Sybiraków 7, 44-200 Rybnik
50.32851776 19.0376564 Bańgowska 52, 41-103 Siemianowice Śląskie
50.2726081 18.926214 Bukowa 157, 41-600 Świętochłowice
50.260644 19.043781 Bogucicka 7, 40-215 Katowice
50.094083 18.542861 Bolesława Chrobrego 1, 44-200 Rybnik
50.450444 19.55325 Bonerów 33, 42-440 Podzamcze
50.784222 19.137556 Botaniczna -, 42-216 Częstochowa
50.2240213 19.244093 Grunwaldzka 275, 43-603 Jaworzno
50.837333 19.12925 Bronisława Czecha -, 42-224 Częstochowa
50.225273 18.995067 Żytnia 2, 40-544 Katowice
50.087245 18.57047 Brzezińska 47, 44-203 Rybnik
50.0873718 18.5707683 Brzezińska 47, 44-203 Rybnik
50.126666 18.976396 Budowlanych -, 43-100 Tychy
49.928167 18.991594 Węglowa 15, 43-502 Czechowice-Dziedzice
50.199702 18.982285 Bażantów 2, 40-668 Katowice
50.219993 19.155799 Ziętka 45-47, 41-400 Mysłowice
50.373499 18.932628 Karola Miarki 13, 41-940 Piekary Śląskie
50.108414 18.979999 Bielska 107, 43-100 Tychy
50.1731909 18.9001468 Kolejowa 1, 43-190 Mikołów
50.434611 18.946708 Parkowa _, 41-622 Świerklaniec
50.159252 18.846509 ZIM, ul. Sienkiewicza _, 43-170 Łaziska Górne
50.196955 18.981163 Pijarska 3, 40-750 Katowice
50.269228 19.061908 aleja Roździeńskiego 200, 40-315 Katowice
50.29335 18.93411 75 Pułku Piechoty 1, 41-500 Chorzów
50.383832 18.91256 Ciepłownicza 1, 41-922 Radzionków
49.74988 18.65066 Bielska 62, 43-300 Cieszyn
50.2893425 19.10329306 Gen. Stefana Grota-Roweckiego 130 130, 41-200 Sosnowiec
50.110623 18.761488 COMPLEX-BUD, Żorska 78a _, 43-188 Orzesze
50.288865 19.2091 Lenartowicza 186, 41-200 Sosnowiec
50.295842 19.1225551 Czeladzka 51, 41-200 Sosnowiec
50.827944 19.119667 Dekabrystów -, 42-202 Częstochowa
50.22989 19.176382 Orląt Lwowskich 138, 41-208 Sosnowiec
50.819167 19.114722 Dominika Zbierskiego -, 42-218 Częstochowa
50.291388 18.9319331 Drogowa Trasa Średnicowa 2, 41-600 Świętochłowice
50.154194 18.776789 Dworcowa 1, 43-180 Orzesze
50.8082778 19.12022222 Aleja Wolności 21 21, 42-200 Częstochowa
50.3005 18.67675 Bohaterów Getta Warszawskiego 12 12, 44-100 Gliwice
50.2566944 19.01630556 Plac Oddziałów Młodzieży Powstańczej 11 11, 40-098 Katowice
50.2263333 18.97730556 Franciszkańska 1 1, 40-706 Katowice
50.122971 18.98957 Edukacji 7, 43-100 Tychy
50.379811 18.81216 ELZAB 1 _, 41-813 Zabrze
49.8307 19.04443 Warszawska 16, 43-300 Bielsko-Biała
49.8163402 19.0531233 Rychlińskiego 19, 43-300 Bielsko-Biała
49.8163402 19.0531233 Rychlińskiego 19, 43-300 Bielsko-Biała
49.82153535 19.051217 pl. Ratuszowy 7, 43-300 Bielsko-Biała
49.820704 19.051415 Dmowskiego 16, 43-300 Bielsko-Biała
49.82352933 19.05398812 pl. Wolności 8, 43-300 Bielsko-Biała
49.798151 18.984114 Jaworzańska 105, 43-300 Bielsko-Biała
49.790249 19.055298 Startowa 36, 43-300 Bielsko-Biała
49.8005914 19.028571 Kowalska 67, 43-300 Bielsko-Biała
49.781352 19.05374 Czołgistów 42, 43-300 Bielsko-Biała
49.7847808 19.0563798 Czołgistów 17, 43-300 Bielsko-Biała
49.80172 19.07814 Górska 16, 43-300 Bielsko-Biała
49.82327483 19.0440708 Kącik 4, 43-300 Bielsko-Biała
49.8217668 19.0410067 Waryńskigo 2, 43-300 Bielsko-Biała
49.815134 19.050895 Broniewskiego 31, 43-300 Bielsko-Biała
49.815134 19.050895 Broniewskiego 31, 43-300 Bielsko-Biała
49.833431 19.036466 Filarowa 18, 43-300 Bielsko-Biała
49.818055 19.084782 Skowronków 9, 43-300 Bielsko-Biała
49.784684 19.022174 Karbowa 31, 43-300 Bielsko-Biała
49.784714 19.022121 Karbowa 31, 43-300 Bielsko-Biała
49.818699 19.025776 Konopnickiej 27, 43-300 Bielsko-Biała
49.8282493 19.0491608 Grażyńskiego 2c, 43-300 Bielsko-Biała
50.235868 18.977556 Ligocka 103, 40-570 Katowice
50.101615 19.010747 Fabryczna 2, 43-110 Tychy
50.2544 19.061484 Porcelanowa 23, 40-246 Katowice
50.258119 18.656086 Rybnicka 205, 44-122 Gliwice
50.2565484 18.9849404 Feliksa Bocheńskiego 100, 40-818 Katowice
50.2592481 18.9852206 Feliksa Bocheńskiego 99, 40-847 Katowice
50.267852 19.00711 Chorzowska 100, 40-001 Katowice
50.2500425 19.027631 Francuska 34, 40-001 Katowice
50.245144 19.026386 Francuska 70, 40-015 Katowice
50.112014 18.987983 Jana Pawła II 16, 43-100 Tychy
50.202948 19.267911 Grunwaldzka 59, 43-600 Jaworzno
50.807956 19.13074 aleja Wojska Polskiego 207, 42-208 Częstochowa
50.258237 19.017637 3 Maja 30, 40-097 Katowice
49.80184 18.789725 Fabryczna 9, 43-430 Skoczów
50.275672 18.696081 Pszczyńska 192, 44-100 Gliwice
50.30732763 18.78314826 Wolności 273, 41-800 Zabrze
50.2629374 18.986479 Bocheńskiego 69, 40-487 Katowice
49.803467 19.050403 Leszczyńska 20, 43-300 Bielsko-Biała
50.096638 19.008611 Towarowa 2C, 43-100 Tychy
50.821694 19.119667 Generała Ignacego Prądzyńskiego -, 42-202 Częstochowa
50.823111 19.095583 Generała Leopolda Okulickiego -, 42-202 Częstochowa
50.804333 19.146833 Generała Wilhelma Orlik-Rückemanna -, 42-202 Częstochowa
50.67598 19.12642 BOTANICZNA 4, 42-260 ZAWADA
50.2628324 19.0065559 Gliwicka 49, 40-079 Katowice
50.131194 18.688694 Główna 1D, 44-237 Bełk
50.752251 19.278679 Kazimierza Wielkiego dz. nr 1926/11 27, 42-256 Olsztyn k. Częstochowy
49.721389 19.376222 Krakowska 148, 34-323 Ślemień
50.249126 19.006289 Barbary 21, 40-053 Katowice
50.117116 18.991241 Grota-Roweckiego -, 43-100 Tychy
50.3521271 18.7643556 Handlowa 2B, 41-807 Zabrze
50.277383 19.072067 al. Walentego Rozdzieńskiego 191, 40-315 Katowice
50.265831 19.029141 Henryka Mikołaja Góreckiego -, 40-206 Katowice
50.26582 19.029343 Henryka Mikołaja Góreckiego -, 40-206 Katowice
49.755769 18.638574 Hilarego Filasiewicza 3, 43-400 Cieszyn
50.459206 19.087011 Równoległa _, 42-625 Pyrzowice
50.81972 19.141734 Drogowców 8, 42-202 Częstochowa
50.817359 19.135142 Jaskrowska 22, 42-200 Częstochowa
49.806439 19.056657 Żywiecka 93, 43-300 Bielsko-Biała
50.263302 18.989964 Pukowca 17A, 40-847 Katowice
49.765058 18.634088 Motelowa 21 `, 43-400 Cieszyn
50.813457 19.104359 Popiełuszki 2, 42-200 Częstochowa
50.25833776 19.01926777 ul. Młyńska 6, 40-098 Katowice
49.658908 18.825355 Jawornik 52A, 43-460 Wisła
50.693718 18.68743 Lubliniecka 9, 42-713 Kochcice
50.820611 19.096972 Ignacego Mościckiego -, 42-218 Częstochowa
50.271241 19.060653 aleja Roździeńskiego 95, 40-203 Katowice
50.450965 18.879105 Leśna 2, 42-600 Tarnowskie Góry
50.2579986 19.1981094 Innowacyjna 8, 41-200 Sosnowiec
50.29966 18.66784 INSTYTUT ONKOLOGII Wybrzeże Armii Krajowej 15 _, 44-100 Gliwice
50.234261 18.646193 Szpitalna 42, 44-100 Knurów
49.5741741 18.9088725 Istebna 1688, 43-470 Istebna
49.555528 18.918778 Istebna 1820, 43-470 Istebna
49.8388892 19.0369463 ul. Sarni Stok 1, 43-300 Bielsko Biała
50.2990452 19.1185857 Jabłoniowa 2A, 41-214 Sosnowiec
50.779 19.136583 Jana Lechonia -, 42-202 Częstochowa
50.0611371 18.5054456 Jana Zamojskiego 35a, 44-274 Rybnik
50.838306 19.123361 Jarosława Iwaszkiewicza 4, 42-224 Częstochowa
49.666694 19.077778 Jaski 14, 34-324 Lipowa
49.94984 18.59193 Piłsudskiego dz nr 398/2, 44-335 Jastrzębie Zdrój
50.839861 19.137667 Jerzego Kukuczki -, 42-209 Częstochowa
50.830306 19.118833 Jerzego Kurpińskiego-Ponurego -, 42-215 Częstochowa
50.809778 19.116139 Jerzego Waszyngtona -, 42-217 Częstochowa
50.780361 19.149639 Józefa Mireckiego -, 42-202 Częstochowa
49.947468 18.582432 Jana Pawła II 4, 44-330 Jastrzębie-Zdrój
50.221917 18.672249 Dworcowa 1, 44-190 Knurów
49.965789 18.690348 Krucza 18, 43-251 Pawłowice
49.7586398 19.026612 Juliana Fałata 222A, 43-360 Bystra
50.632124 18.8510199 Juliusza Ligonia 21, 42-286 Koszęcin
50.803889 19.104861 Juliusza Słowackiego -, 42-217 Częstochowa
49.956712 18.966705 Spokojna 72, 43-230 Goczałkowice Zdrój
50.810806 19.108028 Karola Szymanowskiego -, 42-217 Częstochowa
50.258925 18.996524 Żeliwna 38, 40-599 Katowice
50.0454412 18.7022285 Katowicka 10, 44-240 Żory
49.801039 19.031114 ANDERSA 81, 43-316 BIELSKO BIAŁA
50.82456772 19.09890309 Generała Leopolda Okulickiego 50, 42-218 Częstochowa
50.2836358 19.17634866 11 LISTOPADA 124, 41-200 SOSNOWIEC
50.1043752 18.9892417 Tischnera 1, 43-100 Tychy
50.032043 18.699882 Okrężna 2, 44-240 Żory
50.816139 19.132056 Kazimierza Knauera -, 42-200 Częstochowa
49.6312313 19.2566941 Kępka 3, 34-331 Przyłęków
50.236221 18.992229 Kępowa 39, 40-582 Katowice
50.290019 18.934156 Żołnierska 34, 41-600 Świętochłowice
50.833528 19.117111 Kiedrzyńska 97, 42-200 Częstochowa
50.259463 19.062472 1 Maja 162a, 40-240 Katowice
49.697272 18.827489 3 Maja 130, 43-450 Ustroń
50.837222 19.164833 Kontkiewicza -, 42-209 Częstochowa
50.28933 18.792615 3 Maja 93, 41-800 Zabrze
50.232488 18.99789 Kościuszki 169, 40-047 Katowice
50.835972 19.127056 Krzysztofa Kamila Baczyńskiego -, 42-224 Częstochowa
50.806333 19.151333 Legionów 52, 42-202 Częstochowa
50.761833 19.062111 Leśna -, 42-271 Częstochowa
50.397469 18.8034517 Żołnierska 85, 41-936 Bytom
50.287695 18.65610759 Nowy Świat 67, 44-100 Gliwice
50.30378 18.67306 Toszecka 7, 44-100 Gliwice
50.903158 18.92787173 Henryka Sienkiewicza 2, 42-100 Kłobuck
50.43737362 18.94422701 Oświęcimska 6, 42-622 Świerklaniec
50.489239 19.435806 Leśna 18, 42-400 Zawiercie
50.470644 19.068786 Wolności 90, 42-325 Ożarowice
49.73574602 19.0667445 Bielska 0, 43-374 Buczkowice
50.2908597 19.1217066 Ludwika Zamenhofa 16, 41-214 Sosnowiec
50.379312 18.890816 Strzelców Bytomskich 96, 41-902 Bytom
50.320194 19.105913 Będzińska 80, 41-250 Czeladź
50.317738 18.753167 Szkubacza 1, 41-800 Zabrze
49.8377778 19.0038889 al.gen.Władysława Andersa 545, 43-300 Bielsko-Biała
50.786994 19.123081 Jagiellońska 38/40, 42-216 Częstochowa
50.263012 18.9793352 Pukowca 25, 40-847 Katowice
50.0895577 18.5717728 Żorska 60, 44-200 Rybnik
50.3087851 19.1799711 Jana Długosza 80, 41-219 Sosnowiec
50.3222466 18.7694121 aleja Korfantego 17, 41-800 Zabrze
50.29023805 19.16020927 Małe Zagórze -, 41-200 Sosnowiec
50.802611 19.113778 Marii Skłodowskiej-Curie 20, 42-217 Częstochowa
50.106687 18.984763 Marszałka Józefa Piłsudskiego 20, 43-100 Tychy
50.803861 19.151694 Marysia -, 42-202 Częstochowa
50.265821 19.029151 Góreckiego _, 40-206 Katowice
50.251693 19.006208 Mikołowska 53, 40-065 Katowice
50.423999 18.39064 MOP Chechło A4, 44-172 Chechło
50.40426 19.016234 Autostrada Bursztynowa 1, 42-584 Dobieszowice
50.405612 19.015329 Autostrada Bursztynowa 1, 42-584 Dobieszowice
50.42492333 18.392946 MOP Proboszczowice A4, 44-180 Proboszczowice
50.576413 19.050937 Woźniki, Parking -, 42-289 Woźniki
50.57589333 19.04857 MOP Woźniki Zachód, 42-289 Woźniki
50.511111 19.382444 Mrzygłodzka 273, 42-400 Zawiercie
50.0688852 19.9048801 Rostafińskiego 7, 30-072 Kraków
49.7110181 19.0168839 Myśliwska 52, 43-370 Szczyrk
49.965687 18.95724 Bielska 46, 43-200 Pszczyna
50.779542 19.6988 Różana 11 11, 42-230 Koniecpol
50.481443 19.262297 Łysa Góra 6, 42-470 Siewierz
50.437621 18.94494 Oświęcimska 19, 42-622 Świerklaniec
50.101834 18.533058 Budowlanych 6, 44-217 Rybnik
50.3053111 18.65814722 Portowa 2, 44-100 Gliwice
50.2150417 18.9797861 Tadeusza Kościuszki 328, 40-608 Katowice
50.285384 18.617222 Daszyńskiego 277, 44-151 Gliwice
50.067932 18.516832 Wodzisławska 243, 44-270 Rybnik
50.83275 19.109417 Obrońców Westerplatte 33, 42-218 Częstochowa
50.825 19.106722 Okólna -, 42-218 Częstochowa
50.817333 19.106389 Okólna -, 42-218 Częstochowa
50.266855 19.008972 Żelazna 2, 40-851 Katowice
50.31880188 18.94551086 Chorzowska 90, 41-910 Bytom
50.80281067 19.08763695 Św. Barbary 105, 42-200 Częstochowa
50.8351059 19.15393257 Warszawska 324/334, 42-200 Częstochowa
50.31706238 19.24718094 Katowicka 30, 41-300 Dąbrowa Górnicza
50.28691483 18.67250061 Pszczyńska 52, 44-100 Gliwice
50.14751434 19.29609871 MOP Kępnica A4, 46-607 Jaworzno
50.23038864 18.97271347 Piotrowicka 92, 40-724 Katowice
50.27830505 19.08210182 Roździeńskiego 194, 40-313 Katowice
50.2625351 19.04436111 Roździeńskiego 102, 40-226 Katowice
50.2522049 19.04862404 Murckowska 5, 40-266 Katowice
50.8477211 19.04508591 Częstochowska 90, 42-100 Lgota
50.37218475 18.74320984 Wieszowa A1, 42-672 MOP Wieszowa Północ
50.37055588 18.74152946 Wieszowa A1, 42-672 MOP Wieszowa Południe
50.14951324 19.30126572 MOP A4, 43-607 MOP Zastawie
50.71876907 19.15589905 Warszawska 10, 42-262 Poczesna
50.30031586 18.86751556 Zabrzańska 27, 41-700 Ruda Śląska
50.13231659 18.55131149 Gliwicka 196, 44-207 Rybnik
50.46595383 19.22977257 Bytomska 67, 42-470 Siewierz
50.29516602 18.89550781 Drogowa Trasa Średnicowa 9, 41-600 Świętochłowice
50.1024437 19.00774193 Fabryczna 3A, 43-100 Tychy
50.10560608 19.00688362 Beskidzka 60, 43-100 Tychy
50.225525 19.234016 Wojska Polskiego 1, 43-603 Jaworzno
50.225465 18.963944 Panewicka 41, 40-760 Katowice
50.306712 18.646786 Aleja Jana Nowaka-Jeziorańskiego 1, 44-100 Gliwice
50.246102 19.01507 Wita Stwosza 37, 40-042 Katowice
50.24159 18.845082 Kłodnicka 95, 41-700 Ruda Śląska
50.041857 18.686409 Wodzisławska 3a, 44-240 Żory
50.439435 18.837463 Obwodnica 8, 42-600 Tarnowskie Góry
50.46632 19.082571 Józefa Piłsudskiego 11, 42-625 Pyrzowice
50.286522 18.687145 Akademicka 50, 44-100 Gliwice
50.227193 19.000453 Św. Huberta 43/45, 40-543 Katowice
50.206377 18.989305 Radockiego 70B, 40-645 Katowice
50.295079 19.005248 Bytkowska _, 40-147 Katowice
50.094781 18.540274 Gen. Józefa Hallera _, 44-200 Rybnik
50.844806 19.127884 Generała Stanisława Sosabowskiego 21, 42-224 Częstochowa
50.2619845 19.0185319 Piotra Skargi 6A, 40-091 Katowice
50.294616 18.666625 pl. Inwalidów Wojennych 8, 44-100 Gliwice
50.811444 19.125972 plac Daszyńskiego -, 42-200 Częstochowa
50.291377 18.672353 Łużycka 2C, 44-100 Gliwice
50.3490502 18.9246164 plac Sobieskiego 3, 41-900 Bytom
50.33556 18.90478 Golfowa 3, 41-907 Bytom
50.26321242 19.01411478 Mickiewicza 29, 40-085 Katowice
49.967014 18.941943 Łokietka 16C, 43-200 Pszczyna
50.820495 19.116342 al. Armii Krajowej 17 _, 42-218 Częstochowa
50.254814 18.970381 Kochłowicka 103, 40-818 Katowice
50.254887 18.970426 Kochłowicka 103, 40-818 Katowice
49.854244 19.027179 Warszawska 299, 43-300 Bielsko-Biała
50.27824722 18.95498857 Drogowa Trasa Średnicowa 51, 41-506 Chorzów
50.78761629 19.11583361 Jagiellońska 48, 42-200 Częstochowa
50.229778 19.055083 73 Pułku Piechoty 1, 40-467 Katowice
50.2431209 19.0376989 Pułaskiego 60, 40-028 Katowice
50.2892364 19.125191 Pusta 40, 41-205 Sosnowiec
50.813389 19.111333 Racławicka -, 42-217 Częstochowa
50.813528 19.106194 Racławicka -, 42-217 Częstochowa
50.772111 19.15375 Rakowska -, 42-208 Częstochowa
50.252606 19.025707 Reymonta 24, 40-029 Katowice
50.231526 18.986397 Rolna 43, 40-555 Katowice
50.789444 19.131417 Równoległa -, 42-202 Częstochowa
50.274948 18.866759 1 Maja 310, 41-710 Ruda Śląska
49.962334 18.631157 Rybnicka 6c, 44-335 Jastrzębie-Zdrój
50.09718 18.5477 Białych 3, 44-200 Rybnik
50.10172 18.52242 Budowlanych 4, 44-200 Rybnik
50.096153 18.537468 Raciborska 16, 44-200 Rybnik
50.09514 18.54389 Plac Wolności 13, 44-200 Rybnik
50.06877366 18.54841572 1 Maja 91B, 44-206 Rybnik
50.093125 18.542718 3 Maja 10, 44-200 Rybnik
50.100868 18.524265 Broniewskiego 16, 44-217 Rybnik
50.098076 18.543858 Brudnioka 3, 44-200 Rybnik
50.102104 18.532535 Budowlanych 6, 44-200 Rybnik
50.096319 18.514203 Chabrowa 11, 44-210 Rybnik
50.102405 18.521262 Floriańska 1, 44-217 Rybnik
50.14201516 18.54868063 Gliwicka 257, 44-207 Rybnik
50.111752 18.546429 Gliwicka 72, 44-200 Rybnik
50.059138 18.488624 Górnośląska 103, 44-270 Rybnik
50.092592 18.539902 Hallera 7, 44-217 Rybnik
50.132738 18.594411 Hotelowa 11, 44-213 Rybnik
50.08239 18.536497 Jankowicka 41, 44-218 Rybnik
50.090115 18.542881 Jankowicka 1, 44-200 Rybnik
50.096585 18.548789 Kościuszki 10, 44-200 Rybnik
50.092307 18.540774 Młyńska 4, 44-200 Rybnik
50.090965 18.540215 Młyńska 12, 44-200 Rybnik
50.0516 18.5966 Patriotów 50, 44-253 Rybnik
50.082004 18.505355 Pod Lasem 62, 44-210 Rybnik
50.09745 18.551296 Powstańców Śląskich 27, 44-200 Rybnik
50.046444 18.608592 Patriotów 1, 44-253 Rybnik
50.088515 18.540843 Jankowicka 10, 44-200 Rybnik
50.090099 18.531306 Reymonta 54, 44-200 Rybnik
50.142013 18.48068 Rudzka 380, 44-292 Rybnik
50.093025 18.538266 Rzeczna 8, 44-200 Rybnik
50.129268 18.981694 Rynek -, 43-100 Tychy
50.30564183 19.29550566 Szklanych Domów 2, 42-530 Dąbrowa Górnicza
50.3070779 19.29520227 Szklanych Domów 2, 42-530 Dąbrowa Górnicza
